Date/Time,Cooling:Electricity [J](Monthly),Heating:NaturalGas [J](Monthly),Fans:Electricity [J](Monthly),HeatingCoils:EnergyTransfer [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Cooling:Electricity [J](RunPeriod),Heating:NaturalGas [J](RunPeriod),Fans:Electricity [J](RunPeriod),HeatingCoils:EnergyTransfer [J](RunPeriod),CoolingCoils:EnergyTransfer [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),Electricity:Facility [J](TimeStep),Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:HVAC [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),Electricity:HVAC [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:HVAC [J](RunPeriod) 
 06/01  16:45:00,,,,,,,,,,,,,,,15154195.94436884 
 06/01  17:00:00,,,,,,,,,,,,,,,15119741.7026349 
 06/01  17:15:00,,,,,,,,,,,,,,,9000000.0 
 06/01  17:30:00,,,,,,,,,,,,,,,9000000.0 
 06/01  17:45:00,,,,,,,,,,,,,,,9000000.0 
 06/01  18:00:00,,,,,,,,,,,,,,,9000000.0 
 06/01  18:15:00,,,,,,,,,,,,,,,5400000.0 
 06/01  18:30:00,,,,,,,,,,,,,,,5400000.0 
 06/01  18:45:00,,,,,,,,,,,,,,,5400000.0 
 06/01  19:00:00,,,,,,,,,,,,,,,5400000.0 
 06/01  19:15:00,,,,,,,,,,,,,,,2700000.0 
 06/01  19:30:00,,,,,,,,,,,,,,,2700000.0 
 06/01  19:45:00,,,,,,,,,,,,,,,2700000.0 
 06/01  20:00:00,,,,,,,,,,,,,,,2700000.0 
 06/01  20:15:00,,,,,,,,,,,,,,,1440000.0 
 06/01  20:30:00,,,,,,,,,,,,,,,1440000.0 
 06/01  20:45:00,,,,,,,,,,,,,,,1440000.0 
 06/01  21:00:00,,,,,,,,,,,,,,,1440000.0 
 06/01  21:15:00,,,,,,,,,,,,,,,427500.0 
 06/01  21:30:00,,,,,,,,,,,,,,,427500.0 
 06/01  21:45:00,,,,,,,,,,,,,,,427500.0 
 06/01  22:00:00,,,,,,,,,,,,,,,427500.0 
 06/01  22:15:00,,,,,,,,,,,,,,,427500.0 
 06/01  22:30:00,,,,,,,,,,,,,,,427500.0 
 06/01  22:45:00,,,,,,,,,,,,,,,427500.0 
 06/01  23:00:00,,,,,,,,,,,,,,,427500.0 
 06/01  23:15:00,,,,,,,,,,,,,,,427500.0 
 06/01  23:30:00,,,,,,,,,,,,,,,427500.0 
 06/01  23:45:00,,,,,,,,,,,,,,,427500.0 
 06/01  24:00:00,135904326.0445525,3007355.7550347643,38356887.4033479,2405884.604027812,631952884.3088363,298350000.0,148320000.0,135904326.0445525,3007355.7550347643,38356887.4033479,2405884.604027812,631952884.3088363,298350000.0,148320000.0,427500.0,620931213.4479004,446670000.0,174261213.44790035,3007355.7550347643,3007355.7550347643,620931213.4479004,446670000.0,174261213.44790035,3007355.7550347643,3007355.7550347643 
